Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-02-02 04:00:00,99206.85000000,100515.99000000,99031.19000000,99643.30000000,3478.78338000,2025-02-02 07:59:59.999,347318860.62485420,763506,1613.68791000,161133751.61246740,0
2025-02-02 08:00:00,99643.30000000,100100.00000000,98645.00000000,98864.60000000,4107.22330000,2025-02-02 11:59:59.999,408162838.48060780,839920,1667.43656000,165789702.63086880,0
2025-02-02 12:00:00,98864.60000000,99439.05000000,98157.00000000,99346.87000000,5265.38592000,2025-02-02 15:59:59.999,520363064.16577740,1014883,2492.83842000,246407417.33448910,0
2025-02-02 16:00:00,99346.87000000,99361.97000000,96821.54000000,98273.16000000,9695.73736000,2025-02-02 19:59:59.999,947896583.26520040,2232176,4447.30201000,434938058.66147350,0
2025-02-02 20:00:00,98273.17000000,98628.74000000,96150.00000000,97700.59000000,7507.02305000,2025-02-02 23:59:59.999,730640081.36531850,1484745,3553.85692000,345989550.71568880,0
2025-02-03 00:00:00,97700.59000000,97782.79000000,91231.00000000,94038.74000000,29729.49110000,2025-02-03 03:59:59.999,2805369829.04628280,3573247,13713.73945000,1294554303.14159800,0
2025-02-03 04:00:00,94038.75000000,95426.63000000,92646.36000000,95333.01000000,7783.31800000,2025-02-03 07:59:59.999,730761199.63008420,1470890,3931.15903000,369275127.95088950,0
2025-02-03 08:00:00,95333.01000000,95950.68000000,94799.29000000,95107.89000000,6292.62471000,2025-02-03 11:59:59.999,600101528.13307870,1227512,2973.77638000,283658939.82129470,0
2025-02-03 12:00:00,95107.89000000,99500.00000000,94131.14000000,98842.00000000,14148.56207000,2025-02-03 15:59:59.999,1366477661.69837920,2039763,7136.98752000,689828793.25266380,0
2025-02-03 16:00:00,98842.00000000,101880.00000000,98038.58000000,101880.00000000,10494.44455000,2025-02-03 19:59:59.999,1043286149.21264610,1418976,5673.21076000,564279643.20607050,0
2025-02-03 20:00:00,101879.99000000,102500.01000000,100918.00000000,101328.52000000,6716.29807000,2025-02-03 23:59:59.999,682592812.99115040,894874,3307.69632000,336248887.10874940,0
2025-02-04 00:00:00,101328.51000000,101732.31000000,100534.03000000,100629.70000000,3827.79756000,2025-02-04 03:59:59.999,387102722.89531360,433487,1654.25133000,167321785.89363540,0
2025-02-04 04:00:00,100629.70000000,100764.11000000,98229.82000000,98448.02000000,7495.21052000,2025-02-04 07:59:59.999,743682967.59372570,957550,3393.08864000,336486606.85594320,0
2025-02-04 08:00:00,98448.01000000,99445.17000000,97860.00000000,98967.70000000,4539.23391000,2025-02-04 11:59:59.999,447617298.45167120,889605,2477.10832000,244304424.14137850,0
2025-02-04 12:00:00,98967.70000000,100415.00000000,98275.98000000,99347.19000000,8422.36725000,2025-02-04 15:59:59.999,837153150.47407360,1398359,4007.37158000,398391145.06479210,0
2025-02-04 16:00:00,99347.18000000,100777.93000000,98778.58000000,98859.77000000,6617.95049000,2025-02-04 19:59:59.999,658596623.72468500,1272303,3347.60258000,333191026.29387250,0
